Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money
"""fairly horrendous experience""",No Aircraft,Couple Leisure,Business Class,Orlando to Gatwick,February 2026,3,1,1,3,1,2
"""get a better service from Jet2 or EasyJet""",A320,Family Leisure,Economy Class,Sharm El Sheikh to London Gatwick,February 2026,2,1,No rating,No rating,1,2
"""don't honour what their staff say""",A380,Couple Leisure,Economy Class,Johannesburg to London,February 2026,1,5,3,1,3,1
“experience was deeply disappointing”,No Aircraft,Family Leisure,Economy Class,Brussels to Dubai via London,February 2026,No rating,No rating,No rating,No rating,1,1
"""Outstanding cabin crew""",Boeing 777-200,Solo Leisure,Business Class,Mumbai to London Heathrow,February 2026,5,5,4,3,2,5
"""Avoid the BA Cityflyer Embraers""",Embraer E190,Family Leisure,Business Class,Stansred to Florence,February 2026,1,4,No rating,No rating,5,5
"""could not use my return flight""",No Aircraft,Couple Leisure,Economy Class,Vancouver to Rome via London,October 2025,No rating,No rating,No rating,No rating,No rating,3
"""snooty and superior about BA staff""",No Aircraft,Couple Leisure,Economy Class,London Gatwick to Grenada via St Lucia,January 2026,2,3,2,2,4,3
"""professional and friendly""",Boeing 777-200,Solo Leisure,Business Class,London Heathrow to Mumbai,February 2026,5,4,4,3,5,5
"""let down by old club world seats""",No Aircraft,Couple Leisure,Business Class,Gatwick to Orlando,January 2026,2,4,3,No rating,4,4
"""common for cheaper budget flights""",A321neo,Couple Leisure,Economy Class,Frankfurt to London Heathrow,January 2026,4,3,No rating,No rating,2,3
"""shocking waste of my money to pay for Club""",No Aircraft,Couple Leisure,Business Class,London Gatwick to Gran Canaria,January 2026,3,5,1,No rating,1,1
"""the experience was abysmal""",A320,Solo Leisure,Economy Class,Gatwick to Porto,January 2026,1,1,1,No rating,1,1
"""wouldn't let me add a bag""",No Aircraft,Solo Leisure,Economy Class,Marseille to London,January 2026,2,4,No rating,No rating,5,1
"""its competitors have lifted their game""",Boing 777-300ER,Solo Leisure,First Class,Sydney to Singapore,December 2025,5,5,4,4,4,4
“impossible to talk to someone”,No Aircraft,Solo Leisure,Economy Class,Porto to Gatwick,December 2025,No rating,No rating,No rating,No rating,1,1
"""treated like garbage by them """,No Aircraft,Family Leisure,Economy Class,Milan to Washington Dulles via London Heathrow,January 2026,3,3,3,3,1,1
"""Poor baggage handling""",No Aircraft,Couple Leisure,Economy Class,Phoenix to London,January 2026,3,5,5,5,1,2
"""departed with a 30-minute delay""",No Aircraft,Couple Leisure,Economy Class,London Heathrow to Geneva,January 2026,1,No rating,No rating,No rating,1,1
"""we were downgraded""",No Aircraft,Family Leisure,Business Class,Mumbai to London,December 2025,1,1,1,1,1,1
"""stressful and costly travel experiences""",No Aircraft,Couple Leisure,Economy Class,Dusseldorf to London,December 2025,1,No rating,No rating,No rating,1,1
British Airways customer review,No Aircraft,Family Leisure,Business Class,Innsbruck to heathrow,December 2025,3,4,3,No rating,1,1
"""a fantastic experience""",Boeing 777-300ER,Couple Leisure,First Class,Singapore to London,December 2025,5,5,4,5,5,5
“a very good experience”,Boeing 777,Solo Leisure,Business Class,Cape Town to Manchester via London,December 2025,5,5,4,5,5,4
"""flights were delayed'",A319/A320,Business,Economy Class,BRU to MAN via LHR,December 2025,1,1,No rating,No rating,1,1
"""delayed for 1 hr 20mins""",A321,Solo Leisure,Economy Class,Gatwick to Lyon,December 2025,2,4,No rating,No rating,1,1
"""the worst customer service""",No Aircraft,Couple Leisure,Economy Class,Amsterdam to Rio de janeiro via London,December 2025,No rating,No rating,No rating,No rating,No rating,1
"""crew were well and truly shocking""",A380,Couple Leisure,Economy Class,Dubai to London,December 2025,2,1,1,3,2,1
"""good premium economy experience""",Boeing 777,Business,Premium Economy,London to New York,December 2025,4,5,5,4,4,4
“Never again”,Boeing 777,Solo Leisure,Business Class,San Francisco  to London,October 2025,3,2,No rating,No rating,1,2
“not able to check-in online”,A320,Business,Business Class,Basel to London,November 2025,3,5,5,No rating,No rating,1
"""a very budget airline these days""",Boeing 777,Couple Leisure,Economy Class,St Lucia to London Gatwick,November 2025,1,1,1,3,3,3
"""a nice experience""",No Aircraft,Solo Leisure,Economy Class,London to New Orleans,November 2025,4,5,4,4,3,3
"""it appears bullying is ok""",No Aircraft,Couple Leisure,Economy Class,Gatwick to Tenerife South,November 2025,1,1,No rating,No rating,1,1
“crew terribly disorganised and inattentive”,A321,Solo Leisure,Business Class,Málaga to London,November 2025,3,1,3,No rating,4,3
"""BA was going to be cheap""",A320neo,Family Leisure,Economy Class,Heathrow to Florence,October 2025,4,5,No rating,No rating,3,5
“Two hours of hell”,No Aircraft,Couple Leisure,Economy Class,Alicante to Gatwick,October 2025,1,2,1,No rating,4,3
"""overall experience was good""",No Aircraft,Solo Leisure,Economy Class,London to Washington,June 2025,5,4,3,2,5,4
"""seat is unsuitable for use""",A320,Couple Leisure,Economy Class,London Heathrow to Palma,September 2025,1,1,1,No rating,2,2
British Airways customer review,No Aircraft,Family Leisure,Economy Class,London Gatwick to Accra,July 2025,1,1,1,1,1,1
"""I couldn't fit in the seat""",A320,Solo Leisure,Economy Class,London Heathrow to Warsaw,October 2025,1,3,1,No rating,3,1
"""a horrible experience""",No Aircraft,Family Leisure,Business Class,Boston to Johannesburg via London Heathrow,September 2025,1,3,2,1,1,1
"""an airline in decline""",Boeing 777-200,Business,Business Class,London to Baltimore Washington,October 2025,3,1,1,1,1,1
"""refusing to refund my payment""",No Aircraft,Solo Leisure,Economy Class,Dublin to Chennai via London,September 2025,1,1,No rating,No rating,2,1
“ going to refund $100”,No Aircraft,Solo Leisure,Premium Economy,Chicago to Chennai via London Heathrow,September 2025,No rating,No rating,No rating,No rating,No rating,1
“disappointed with the service”,B789,Solo Leisure,Economy Class,Dubai to London Heathrow,September 2025,4,2,4,4,4,4
"""experience was uninspiring""",A320,Couple Leisure,Business Class,Heathrow to Manchester,September 2025,2,2,2,No rating,2,2
“overall demeanour was indifferent”,Boeing 777-300ER (77W),Couple Leisure,Business Class,Vancouver to London,September 2025,3,2,2,No rating,3,2
"""Seats are extremely hard""",No Aircraft,Solo Leisure,Economy Class,Warsaw to Heathrow,September 2025,1,2,No rating,No rating,1,1
"""had a great flight""",Boeing 777-200,Family Leisure,Business Class,London to Toronto,August 2025,5,5,5,5,5,5
"""Very good food""",A319,Family Leisure,Business Class,Nice to London,August 2025,5,5,5,1,5,5
“friendly and extremely professional”,A320,Solo Leisure,Economy Class,Tenerife to Heathrow,August 2025,3,5,No rating,No rating,5,5
“crew very professional and polite”,A320neo,Solo Leisure,Business Class,Heathrow to Bodrum,August 2025,1,5,5,No rating,4,3
"""going to take my custom elsewhere""",No Aircraft,Business,Premium Economy,London to Hyderabad,September 2025,No rating,No rating,No rating,No rating,No rating,1
"""feel as if I've been ripped off""",Boeing 777,Family Leisure,Premium Economy,Toronto to London,July 2025,3,5,3,3,4,1
"""poor baggage drop experience""",A320,Solo Leisure,Economy Class,London Heathrow to Inverness,July 2025,2,2,2,No rating,1,2
"""an absolute pleasure""",A320,Solo Leisure,Economy Class,Dublin to London,August 2025,5,5,No rating,No rating,5,4
"""choosing another airline in future""",A320,Family Leisure,Economy Class,Gatwick to Larnaca,July 2025,3,3,1,No rating,1,1
"""Flight was one hour late""",A320,Solo Leisure,Economy Class,Inverness to Heathrow,August 2025,1,2,No rating,No rating,1,1
"""still waiting for my luggage""",No Aircraft,Solo Leisure,Economy Class,Mumbai to Dublin via London,July 2025,3,2,4,4,2,3
"""Asked the airline for a refund""",A320,Couple Leisure,Economy Class,Salzburg to Gatwick,July 2025,4,1,3,No rating,2,2
"""charges a lot to pick a seat""",A350,Family Leisure,Business Class,Philadelphia to London,June 2025,5,3,2,3,3,3
"""friendly, professional, and efficient""",A320,Solo Leisure,Business Class,Amsterdam to London Heathrow,July 2025,5,4,4,No rating,5,5
"""initially delayed then cancelled""",A320,Solo Leisure,Economy Class,London to Manchester,July 2025,2,2,No rating,No rating,1,1
"""result was a poor experience""",A380,Family Leisure,Business Class,Miami to London Heathrow,July 2025,2,2,2,1,4,2
"""video systems stopped working""",A380,Family Leisure,Premium Economy,London to San Francisco,June 2025,5,4,4,1,5,3
"""substituted clotted cream for butter""",A380,Family Leisure,Business Class,London to Miami,July 2025,4,3,3,4,4,4
“service was inconsistent”,No Aircraft,Business,Business Class,Thessaloniki to London,July 2025,1,2,1,1,1,1
“consistently incorrect information”,No Aircraft,Solo Leisure,Economy Class,London to Mumbai,June 2025,1,2,2,No rating,1,1
"""I was very disappointed""",No Aircraft,Family Leisure,Business Class,London to Tokyo,May 2025,3,1,3,No rating,2,1
“great service from the crew”,Boeing 787,Couple Leisure,Business Class,London to Singapore,June 2025,5,5,4,4,2,4
"""Mumbai check in is not helpful""",No Aircraft,Business,Economy Class,Mumbai to London,June 2025,3,3,2,No rating,1,3
