Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money,Overall Rating,sentiment_score,sentiment_label,Sentiment Score,Sentiment,Review Length,Route Popularity,Airline Popularity,clean_review,Aircraft_Label
"""managed to get everything right""",Boeing 777,Business,Premium Economy,Gatwick to Antigua,2025-03-01,5.0,5.0,4.0,4.0,5.0,5,4.666666666666667,0.0,Neutral,0.0,1,5,3,452,managed to get everything right,145
"""The seats were excellent""",Boeing 777-200,Couple Leisure,Premium Economy,Mumbai to London,2025-02-01,5.0,4.0,3.0,5.0,4.0,5,4.333333333333333,0.5719,Positive,0.5719,2,4,6,171,the seats were excellent,157
"""the crew were awful""",A350,Couple Leisure,Business Class,Nairobi to London,2025-02-01,4.0,1.0,2.0,3.0,4.0,3,2.8333333333333335,-0.4588,Negative,-0.4588,0,4,2,39,the crew were awful,79
"""not use British Airways on this route""",A320,Solo Leisure,Economy Class,London Gatwick to Marrakech,2025-02-01,4.0,1.0,2.7091954022988505,2.636533432947329,2.0,2,2.390954805874363,0.0,Neutral,0.0,1,7,1,662,not use british airways on this route,26
"""they still haven't replied""",Boeing 777-300,Business,Premium Economy,Amsterdam to Las Vegas via London,2024-11-01,3.0,3.0,3.0,3.0,1.0,1,2.3333333333333335,0.0,Neutral,0.0,1,4,1,54,they still havent replied,167
“food has really gone downhill”,A350-1000,Couple Leisure,Business Class,London to Nairobi,2025-02-01,4.0,1.0,2.0,2.0,3.0,3,2.5,0.0,Neutral,0.0,1,5,3,10,food has really gone downhill,80
"""thoroughly enjoyed this flight""",A380,Solo Leisure,Economy Class,Dubai to London Heathrow,2025-02-01,4.0,5.0,5.0,4.0,5.0,5,4.666666666666667,0.5563,Positive,0.5563,2,4,6,302,thoroughly enjoyed this flight,81
“customer support was terrible”,Boeing 767,Couple Leisure,Economy Class,Zürich to London,2024-12-01,2.0,2.0,1.0,1.0,1.0,1,1.3333333333333333,0.4019,Positive,0.4019,2,4,2,68,customer support was terrible,140
"""a really enjoyable experience""",Boeing 777,Couple Leisure,Business Class,London to Male,2025-01-01,5.0,5.0,4.0,5.0,5.0,4,4.666666666666667,0.4927,Positive,0.4927,2,4,4,452,a really enjoyable experience,145
"""Very good flight""",A320,Solo Leisure,Business Class,London Heathrow to Zurich,2025-01-01,3.0,4.0,4.0,2.6,4.0,4,3.6,0.4927,Positive,0.4927,2,3,1,662,very good flight,26
